Time [s],Heat Flux [W m^-2]
0.0,0.0
0.01,0.0139058375487629
0.02,0.1112462605503224
0.03,0.3754538817331814
0.04,0.8899576200663402
0.05,1.7381810050167883
0.06,3.0035404809999617
0.07,4.76944371208561
0.08,7.119287887021498
0.09,10.136458024637337
0.0999999999999999,13.90432527969135
0.1099999999999999,18.506245249221838
0.1199999999999999,24.02555627946604
0.1299999999999999,30.54557777340863
0.1399999999999999,38.149608499022094
0.15,46.92092489826121
0.16,56.94277939687392
0.17,68.29839871509044
0.18,81.07098217925297
0.19,95.34370003444812
0.2,111.19969175820358
0.21,128.7220643753114
0.22,147.99389077383967
0.23,169.09820802239378
0.24,192.1180156886901
0.25,217.1362741595026
0.26,244.23590296204475
0.2700000000000001,273.4997790868473
0.2800000000000001,305.0107353121956
0.2900000000000001,338.8515585301829
0.3000000000000001,375.10498807444736
0.3100000000000001,413.8537140496486
0.3200000000000001,455.1803756627465
0.3300000000000001,499.167559556145
0.3400000000000001,545.8977981427589
0.3500000000000001,595.453567943065
0.3600000000000001,647.9172879242004
0.3700000000000001,703.3713178411654
0.3800000000000001,761.8979565801923
0.3900000000000002,823.579440504343
0.4000000000000002,888.4979418013888
0.4100000000000002,956.735566834042
0.4200000000000002,1028.3743544925908
0.4300000000000002,1103.4962745499993
0.4400000000000002,1182.1832260195365
0.4500000000000002,1264.5170355149858
0.4600000000000002,1350.5794556135045
0.4700000000000002,1440.4521632211795
0.4800000000000002,1534.216757941352
0.4900000000000002,1631.9547604457598
0.5000000000000002,1733.74761084856
0.5100000000000002,1839.6766670832872
0.5200000000000002,1949.8232032828184
0.5300000000000002,2064.268408162371
0.5400000000000003,2183.093383405644
0.5500000000000003,2306.379142054101
0.5600000000000003,2434.206606899501
0.5700000000000003,2566.656608879697
0.5800000000000003,2703.809885477796
0.5900000000000003,2845.7470791247
0.6000000000000003,2992.54873560513
0.6100000000000003,3144.295302467122
0.6200000000000003,3301.067127435137
0.6300000000000003,3462.944456826768
0.6400000000000003,3630.0074339731336
0.6500000000000004,3802.3360976430217
0.6600000000000004,3980.010380470813
0.6700000000000004,4163.110107388255
0.6800000000000004,4351.714994060154
0.6900000000000004,4545.904645323999
0.7000000000000004,4745.758553633633
0.7100000000000004,4951.356097506955
0.7200000000000004,5162.776539977783
0.7300000000000004,5380.099027051862
0.7400000000000004,5603.402586167122
0.7500000000000004,5832.766124658209
0.7600000000000005,6068.268428225357
0.7700000000000005,6309.988159407653
0.7800000000000005,6558.00385606074
0.7900000000000005,6812.393929839022
0.8000000000000005,7073.236664682408
0.8100000000000005,7340.610215307664
0.8200000000000005,7614.592605704425
