time_s,mach,altitude_m,qbar_kPa,T_static_K,T_stagnation_K,q_nose_Wm2,q_fin_LE_Wm2,T_nose_surf_K,T_fin_surf_K
0.0,0.0,0.0,0.0,288.15,288.15,0.0,0.0,288.15,288.15
0.01,0.004237440171830754,0.0032589500562425714,0.0012939018254204994,288.14997884941414,288.15101364780963,0.006218879608620622,0.013905837548762998,288.15,288.15
0.02,0.008474870799178996,0.013035881438830844,0.005175589690954835,288.14991539712946,288.15405458047684,0.049750840166634835,0.11124626055032245,288.15,288.15
0.03,0.012712284893512612,0.029330907904450608,0.011645015447189393,288.14980964240766,288.15912277030435,0.16790808039431204,0.37545388173318145,288.15,288.15
0.04,0.016949675466495704,0.05214413245640583,0.02070210196767147,288.1496615845803,288.16621817418945,0.39800114711245355,0.8899576200663402,288.15,288.15
0.05,0.021187035530066536,0.08147564734324432,0.03234674315037348,288.1494712230487,288.1753407336246,0.7773381768832883,1.7381810050167885,288.15,288.15
0.060000000000000005,0.02542435809651579,0.1173255340575091,0.046578803919828174,288.1492385572839,288.1864903746985,1.3432241377376661,3.0035404809999617,288.15,288.15
0.07,0.02966163617856481,0.15969386333461044,0.06339812022993482,288.14896358682694,288.1996670080984,2.132960071016472,4.76944371208561,288.15,288.15
0.08,0.03389886278944384,0.2085806951518185,0.0828044990674363,288.1486463112884,288.21487052911056,3.1838423333541828,7.119287887021498,288.15,288.15
0.09,0.03813603094297024,0.2639860787273769,0.1047977184560667,288.148286730349,288.232100817624,4.533161838832465,10.136458024637337,288.15,288.15
0.09999999999999999,0.042373133653626695,0.32591005251973654,0.12937752746136988,288.14788484375913,288.2513577381318,6.218203301331727,13.90432527969135,288.15,288.15
0.10999999999999999,0.04661016393663942,0.39435264422691096,0.15654364619618802,288.14744065133897,288.2726411397344,8.27624447710851,18.506245249221834,288.15,288.15
0.11999999999999998,0.05084711480805634,0.46931387078595194,0.18629576582682053,288.1469541529786,288.2959508561427,10.7445554076266,24.02555627946604,288.15,288.15
0.12999999999999998,0.055083979284825245,0.5507937383725461,0.2186335485798529,288.14642534863793,288.32128670568153,13.660397662669672,30.54557777340863,288.15,288.15
0.13999999999999999,0.0593207503848719,0.6387922424007327,0.25355662774965493,288.1458542383468,288.3486484912933,17.061023583763422,38.149608499022094,288.15,288.15
0.15,0.06355742112717822,0.7333093675227421,0.29106460770654896,288.14524082220476,288.3780360005423,20.9836755279349,46.92092489826121,288.15,288.15
0.16,0.06779398453186034,0.834345087628955,0.3311570639056468,288.1445851003813,288.40944900561885,25.465585111836912,56.942779396873924,288.15,288.15
0.17,0.07203043362024665,0.941899365847983,0.37383354289635473,288.14388707311565,288.44288726334423,30.543972456265305,68.29839871509044,288.15,288.15
0.18000000000000002,0.07626676141495589,1.05597215454687,0.41909356233254824,288.143146740717,288.4783505151758,36.25604543109674,81.07098217925297,288.15,288.15
0.19000000000000003,0.08050296093997514,1.1765633953314152,0.4669366109834132,288.14236410356426,288.5158384872122,42.638998900675006,95.34370003444812,288.15,288.15
0.20000000000000004,0.08473902522073777,1.3036730190466153,0.5173621487449561,288.14153916210637,288.55535089019924,49.73001396967327,111.19969175820358,288.15,288.15
0.21000000000000005,0.08897494728420141,1.4373009457772303,0.5703696066521796,288.1406719168619,288.5968874195357,57.56625722946006,128.7220643753114,288.15,288.15
0.22000000000000006,0.09321072015892592,1.5774470848484687,0.625958386891927,288.1397623684193,288.64044775527987,66.1848800049969,147.99389077383967,288.15,288.1500115429053
0.23000000000000007,0.09744633687515117,1.7241113348267936,0.6841278628163888,288.1388105174369,288.6860315621561,75.62301760229457,169.09820802239378,288.15,288.15004250677123
0.24000000000000007,0.10168179046487488,1.8772935835208506,0.74487737895728,288.1378163646429,288.733638489562,85.91778855645641,192.11801568869006,288.15,288.1500947382392
0.25000000000000006,0.10591707396193055,2.036993707982517,0.8082062510406787,288.1367799108352,288.78326817157546,97.10629388033576,217.1362741595026,288.15,288.1501701675895
0.26000000000000006,0.11015218040206504,2.203211574508071,0.8741137660025295,288.1357011568814,288.83492022696225,109.22561631383486,244.23590296204475,288.15,288.15027080870186
0.2700000000000001,0.11438710282301638,2.3759470386394828,0.9425991820048117,288.1345801037192,288.88859425918434,122.31281957387317,273.4997790868473,288.15,288.15039875901385
0.2800000000000001,0.11862183426459151,2.5551999451658265,1.0136617284523723,288.13341675235586,288.94428985640786,136.40494760505302,305.0107353121956,288.15000508405655,288.15055619947805
0.2900000000000001,0.12285636776874366,2.740970128124813,1.087300606010414,288.1322111038684,289.0020065915116,151.53902383104753,338.8515585301829,288.15002436929797,288.1507453945173
0.3000000000000001,0.1270906963796502,2.933257410804443,1.1635149866226564,288.13096315940385,289.06174402209626,167.75205040674243,375.10498807444736,288.15005890571325,288.1509686919784
