Time [s],Heat Flux [W m^-2]
0.0,0.0
0.01,0.0062188796086206
0.02,0.0497508401666348
0.03,0.167908080394312
0.04,0.3980011471124535
0.05,0.7773381768832883
0.06,1.343224137737666
0.07,2.132960071016472
0.08,3.1838423333541828
0.09,4.533161838832465
0.0999999999999999,6.218203301331727
0.1099999999999999,8.27624447710851
0.1199999999999999,10.7445554076266
0.1299999999999999,13.660397662669672
0.1399999999999999,17.061023583763422
0.15,20.9836755279349
0.16,25.465585111836912
0.17,30.543972456265305
0.18,36.25604543109674
0.19,42.638998900675006
0.2,49.73001396967327
0.21,57.56625722946006
0.22,66.1848800049969
0.23,75.62301760229457
0.24,85.91778855645641
0.25,97.10629388033576
0.26,109.22561631383486
0.2700000000000001,122.31281957387316
0.2800000000000001,136.40494760505302
0.2900000000000001,151.53902383104753
0.3000000000000001,167.75205040674243
0.3100000000000001,185.0810074711548
0.3200000000000001,203.5628524011584
0.3300000000000001,223.23451906604305
0.3400000000000001,244.13291708293343
0.3500000000000001,266.29493107309656
0.3600000000000001,289.7574199191632
0.3700000000000001,314.5572160232913
0.3800000000000001,340.7311245662986
0.3900000000000002,368.3159227677909
0.4000000000000002,397.3483591473114
0.4100000000000002,427.86515278654224
0.4200000000000002,459.90299259257984
0.4300000000000002,493.49853656231386
0.4400000000000002,528.6884110479365
0.4500000000000002,565.5092100236047
0.4600000000000002,603.997494353291
0.4700000000000002,644.1897910598358
0.4800000000000002,686.1225925952405
0.4900000000000002,729.8323561122207
0.5000000000000002,775.3555027370463
0.5100000000000002,822.728416843696
0.5200000000000002,871.9874453293545
0.5300000000000002,923.1688968912686
0.5400000000000003,976.3090413050062
0.5500000000000003,1031.444108704123
0.5600000000000003,1088.6102888612786
0.5700000000000003,1147.8437304708184
0.5800000000000003,1209.1805404328543
0.5900000000000003,1272.6567831388602
0.6000000000000003,1338.3084797588233
0.6100000000000003,1406.1716075299491
0.6200000000000003,1476.2820990469856
0.6300000000000003,1548.6758415541476
0.6400000000000003,1623.3886762387008
0.6500000000000004,1700.4563975262151
0.6600000000000004,1779.9147523775075
0.6700000000000004,1861.7994395873168
0.6800000000000004,1946.1461090847197
0.6900000000000004,2032.9903612353064
0.7000000000000004,2122.367746145177
0.7100000000000004,2214.313762966726
0.7200000000000004,2308.8638592062966
0.7300000000000004,2406.0534300336885
0.7400000000000004,2505.9178175935613
0.7500000000000004,2608.4923103187534
0.7600000000000005,2713.81214224554
0.7700000000000005,2821.912492330858
0.7800000000000005,2932.828483771512
0.7900000000000005,3046.5951833253976
0.8000000000000005,3163.24760063475
0.8100000000000005,3282.820687551461
0.8200000000000005,3405.349337464469
0.8300000000000005,3530.8683846292524
0.8400000000000005,3659.4126034994497
0.8500000000000005,3791.0167080606334
0.8600000000000005,3925.715351166256
0.8700000000000006,4063.5431238757783
0.8800000000000006,4204.534554795032
0.8900000000000006,4348.724109418813
0.9000000000000006,4496.1461894757285
0.9100000000000006,4646.835132275352
0.9200000000000006,4800.825210057647
0.9300000000000006,4958.150629344768
0.9400000000000006,5118.845530295148
0.9500000000000006,5282.94398606002
0.9600000000000006,5450.480002142286
0.9700000000000006,5621.487515757824
0.9800000000000006,5796.000395199211
0.9900000000000008,5974.052439201915
1.0000000000000009,6155.677376312968
1.010000000000001,6340.908864262117
1.020000000000001,6529.780489335525
1.0300000000000007,6722.32576575195
1.0400000000000007,6918.578135041572
1.0500000000000007,7118.570965427306
1.0600000000000007,7322.33755120881
1.0700000000000007,7529.911112148999
1.0800000000000007,7741.324792863302
1.0900000000000007,7956.611662211521
1.1000000000000008,8175.804712692387
1.1100000000000008,8398.936859840802
1.1200000000000008,8626.040941627802
1.1300000000000008,8857.149717863267
1.1400000000000008,9092.295869601368
1.1500000000000008,9331.511998548784
1.1600000000000008,9574.830626475765
1.1700000000000008,9822.284194629894
1.1800000000000008,10073.9050631528
1.1900000000000008,10329.725510499657
1.2000000000000008,10589.777732861514
1.2100000000000009,10854.093843590592
1.2200000000000009,11122.705872628416
1.2300000000000009,11395.645765936884
1.2400000000000009,11672.945384932284
1.2500000000000009,11954.636505922244
1.260000000000001,12240.75081954564
1.270000000000001,12531.319930215546
1.280000000000001,12826.375355565113
1.290000000000001,13125.948525896532
1.300000000000001,13430.07078363299
1.310000000000001,13738.773382773688
1.320000000000001,14052.08748835196
1.330000000000001,14370.044175896384
1.340000000000001,14692.674430895138
1.350000000000001,15020.009148263343
1.360000000000001,15352.079131813569
1.370000000000001,15688.915093729542
1.380000000000001,16030.547654042952
1.390000000000001,16377.007340113452
1.400000000000001,16728.324586111852
1.410000000000001,17084.52973250652
1.420000000000001,17445.653025553012
1.430000000000001,17811.724616786905
1.440000000000001,18182.774562519924
1.450000000000001,18558.83282333926
1.460000000000001,18939.929263610265
1.470000000000001,19326.09365098232
1.480000000000001,19717.35565589812
1.490000000000001,20113.74485110617
1.500000000000001,20515.290711176716
1.5100000000000011,20922.022612020843
1.5200000000000011,21333.969830413214
1.5300000000000011,21751.16154351787
1.5400000000000011,22173.626828417597
1.5500000000000012,22601.39466164661
1.5600000000000012,23034.493918726712
1.5700000000000012,23472.953373706736
1.5800000000000012,23916.801698705585
1.5900000000000012,24366.06746345855
1.6000000000000012,24820.779134867167
1.6100000000000012,25280.96507655252
1.6200000000000012,25746.65354841204
1.6300000000000012,26217.87270617969
1.6400000000000012,26694.65060098974
1.6500000000000012,27177.01517894402
1.6600000000000013,27664.99428068272
1.6700000000000013,28158.615640958546
1.6800000000000013,28657.906888214668
1.6900000000000013,29162.895544166
1.7000000000000013,29673.60902338416
1.7100000000000013,30190.07463288584
1.7200000000000013,30712.31957172501
1.730000000000001,31240.37093058838
1.740000000000001,31774.255691394726
1.750000000000001,32314.000726897568
1.7600000000000011,32859.63280029176
1.7700000000000014,33411.178564823334
1.7800000000000014,33968.66456340323
1.7900000000000014,34532.11722822458
1.8000000000000014,35101.56288038359
1.8100000000000012,35677.02772950408
1.8200000000000012,36258.53787336576
1.8300000000000012,36846.11929753599
1.8400000000000012,37439.79787500544
1.8500000000000012,38039.59936582713
1.8600000000000012,38645.54941675952
1.8700000000000012,39257.67356091288
1.8800000000000012,39875.997217399614
1.8900000000000012,40500.54569098833
1.9000000000000012,41131.3441717613
1.9100000000000013,41768.40884682162
1.9200000000000013,42411.64584229352
1.9300000000000013,43061.03582431758
1.9400000000000013,43716.59511777064
1.9500000000000013,44378.33973895375
1.9600000000000013,45046.28539349679
1.9700000000000013,45720.4474742823
1.980000000000001,46400.84105938999
1.990000000000001,47087.480910062
2.0000000000000013,47689.20401460216
2.010000000000001,47837.83406020632
2.020000000000001,47986.73302169212
2.0300000000000007,48135.90073105295
2.0400000000000005,48285.33701791118
2.0500000000000003,48435.04170951641
2.06,48585.01463074403
2.07,48735.25560409381
2.08,48885.76444968839
2.0899999999999994,49036.54098527193
2.099999999999999,49187.585026208864
2.109999999999999,49338.896385482345
2.1199999999999988,49490.47487369324
2.1299999999999986,49642.32029905873
2.1399999999999983,49794.43246741116
2.149999999999998,49946.811182197074
2.159999999999998,50099.45624447579
2.1699999999999977,50252.36745291864
2.179999999999997,50405.54460380775
2.1899999999999973,50558.9874910351
2.199999999999997,50712.69590610168
2.209999999999997,50866.66963811652
2.2199999999999966,51020.90847379584
2.2299999999999964,51175.41219746222
2.239999999999996,51330.18059104386
2.249999999999996,51485.21343407384
2.259999999999996,51640.51050368943
2.269999999999996,51796.07157463151
2.279999999999996,51951.89641924375
2.289999999999995,52107.98480747234
2.299999999999995,52264.33650686536
2.3099999999999947,52420.95128257215
2.3199999999999945,52577.82889734306
2.3299999999999943,52734.96911152904
2.339999999999994,52892.371683081205
2.349999999999994,53050.0363675507
2.3599999999999937,53207.96291808815
2.369999999999993,53366.15108544378
2.379999999999993,53524.60061796693
2.389999999999993,53683.31126160612
2.399999999999993,53842.28275990906
2.4099999999999926,54001.51485402223
2.4199999999999924,54161.00728269122
2.429999999999992,54320.75978226072
2.439999999999992,54480.77208667442
2.449999999999992,54641.04392747528
2.4599999999999915,54801.57503380585
2.4699999999999918,54962.36513240812
2.479999999999991,55123.41394762414
2.489999999999991,55284.72120139616
2.4999999999999907,55446.28661326696
2.5099999999999905,55608.10990038031
2.5199999999999902,55770.19077748142
2.52999999999999,55932.52895691739
2.53999999999999,56095.12414863772
